ipc_type,wakeup_variant,message_size_bytes,n_rounds,mean_us,median_us,p90_us,p99_us,p999_us,ci95_lo_us,ci95_hi_us
shm_ablation,io_uring,64,100000,4.57099,4.489,4.701,6.805,9.29103,4.56761,4.57436
shm_ablation,io_uring,256,100000,4.61716,4.535,4.753,6.89301,9.52702,4.61356,4.62076
shm_ablation,io_uring,1024,100000,4.76906,4.681,4.902,7.02501,9.68101,4.76341,4.77471
shm_ablation,io_uring,4096,50000,5.41974,5.316,5.627,7.79101,10.5421,5.41437,5.42512
shm_ablation,io_uring,16384,20000,7.88422,7.715,8.308,10.444,16.276,7.87302,7.89542
shm_ablation,io_uring,65536,10000,16.3675,16.152,17.221,19.3236,23.9192,16.35,16.3849
shm_ablation,io_uring,262144,5000,34.7959,34.285,36.4632,39.3483,48.8506,34.754,34.8379
shm_ablation,io_uring,1048576,2000,157.649,155.695,161.539,177.365,191.178,157.46,157.839
