ipc_type,wakeup_variant,message_size_bytes,n_rounds,mean_us,median_us,p90_us,p99_us,p999_us,ci95_lo_us,ci95_hi_us
shm_ablation,futex,64,100000,3.34608,3.308,3.607,4.72401,6.83103,3.3423,3.34986
shm_ablation,futex,256,100000,3.26392,3.188,3.509,4.75002,8.36707,3.26069,3.26714
shm_ablation,futex,1024,100000,3.39866,3.345,3.519,4.74905,8.305,3.37882,3.4185
shm_ablation,futex,4096,50000,3.81871,3.749,3.986,5.18101,7.35901,3.81476,3.82267
shm_ablation,futex,16384,20000,6.36659,6.282,6.592,7.90505,9.62301,6.36113,6.37206
shm_ablation,futex,65536,10000,15.0736,14.8345,15.765,17.7051,22.8002,15.0564,15.0908
shm_ablation,futex,262144,5000,33.5352,33.111,35.1134,37.9751,47.0921,33.4984,33.572
shm_ablation,futex,1048576,2000,154.478,152.688,158.003,172.469,190.528,154.257,154.7
