ipc_type,wakeup_variant,message_size_bytes,n_rounds,mean_us,median_us,p90_us,p99_us,p999_us,ci95_lo_us,ci95_hi_us
posix_mq,n/a,64,100000,3.37314,3.352,3.555,4.448,6.474,3.36657,3.37971
posix_mq,n/a,256,100000,3.41726,3.357,3.597,4.43702,6.15002,3.41339,3.42113
posix_mq,n/a,1024,100000,3.43461,3.379,3.579,4.40701,5.96101,3.43224,3.43698
posix_mq,n/a,4096,50000,4.63632,4.565,4.745,6.17203,7.90605,4.63269,4.63996
posix_mq,n/a,16384,0,0,0,0,0,0,0,0
posix_mq,n/a,65536,0,0,0,0,0,0,0,0
posix_mq,n/a,262144,0,0,0,0,0,0,0,0
posix_mq,n/a,1048576,0,0,0,0,0,0,0,0
