ipc_type,wakeup_variant,message_size_bytes,n_rounds,mean_us,median_us,p90_us,p99_us,p999_us,ci95_lo_us,ci95_hi_us
shm_ablation,eventfd,64,100000,3.23542,3.214,3.4,4.418,6.46202,3.23304,3.23779
shm_ablation,eventfd,256,100000,3.15052,3.099,3.318,4.51801,8.02703,3.14775,3.1533
shm_ablation,eventfd,1024,100000,3.29279,3.23,3.427,4.82706,8.30201,3.28975,3.29584
shm_ablation,eventfd,4096,50000,3.76762,3.7,3.918,5.4471,7.15201,3.76376,3.77147
shm_ablation,eventfd,16384,20000,6.37506,6.265,6.644,8.40201,10.7203,6.36732,6.3828
shm_ablation,eventfd,65536,10000,15.0056,14.857,15.527,17.4601,19.1,14.9934,15.0178
shm_ablation,eventfd,262144,5000,33.8066,33.338,34.6242,40.7887,58.9981,33.7551,33.858
shm_ablation,eventfd,1048576,2000,155.153,153.433,158.88,171.246,197.509,154.966,155.34
