ipc_type,wakeup_variant,message_size_bytes,n_rounds,mean_us,median_us,p90_us,p99_us,p999_us,ci95_lo_us,ci95_hi_us
unix_socket,n/a,64,100000,3.12506,2.923,3.56,4.79301,6.76703,3.12154,3.12858
unix_socket,n/a,256,100000,3.22929,3.015,3.951,5.04701,8.13202,3.22392,3.23466
unix_socket,n/a,1024,100000,3.34444,3.217,3.645,5.26802,8.658,3.34055,3.34834
unix_socket,n/a,4096,50000,4.72061,4.96,5.424,7.087,8.93502,4.71021,4.73101
unix_socket,n/a,16384,20000,8.07714,8.013,8.3521,10.0161,11.686,8.07144,8.08285
unix_socket,n/a,65536,10000,15.8602,15.758,16.4481,18.5221,20.5047,15.8301,15.8903
unix_socket,n/a,262144,5000,36.6001,36.2095,38.3502,42.1297,61.6801,36.547,36.6532
unix_socket,n/a,1048576,2000,139.344,138.242,145.217,159.372,230.576,139.066,139.621
