ipc_type,wakeup_variant,message_size_bytes,n_rounds,mean_us,median_us,p90_us,p99_us,p999_us,ci95_lo_us,ci95_hi_us,status
unix_socket,n/a,64,100000,5.90044,5.496,7.214,8.196,11.3301,5.88313,5.91776,ok
unix_socket,n/a,256,100000,5.96429,5.558,7.318,8.53601,11.977,5.95607,5.9725,ok
unix_socket,n/a,1024,100000,6.30364,5.795,7.585,9.928,13.351,6.23105,6.37624,ok
unix_socket,n/a,4096,50000,11.0928,11.864,12.657,13.609,19.349,11.0771,11.1085,ok
unix_socket,n/a,16384,20000,14.9386,14.765,15.6761,17.2001,21.1751,14.9256,14.9516,ok
unix_socket,n/a,65536,10000,28.3622,28.2835,29.27,32.8802,37.9861,28.3397,28.3846,ok
unix_socket,n/a,262144,5000,65.9235,65.3375,67.6211,76.3773,108.267,65.8388,66.0083,ok
unix_socket,n/a,1048576,2000,242.922,241.094,248.331,261.743,365.375,242.631,243.213,ok
