ipc_type,wakeup_variant,message_size_bytes,n_rounds,mean_us,median_us,p90_us,p99_us,p999_us,ci95_lo_us,ci95_hi_us,status
shm_ablation,futex,64,100000,5.03338,5.001,5.097,6.39502,8.872,5.03143,5.03534,ok
shm_ablation,futex,256,100000,5.07014,5.031,5.156,6.42301,8.83501,5.06832,5.07195,ok
shm_ablation,futex,1024,100000,5.48615,5.454,5.578,6.85803,9.14401,5.48431,5.48799,ok
shm_ablation,futex,4096,50000,6.8082,6.735,6.899,8.575,10.677,6.8048,6.81161,ok
shm_ablation,futex,16384,20000,12.0859,12.039,12.197,13.8551,16.181,12.0801,12.0918,ok
shm_ablation,futex,65536,10000,27.2155,27.227,27.464,29.242,31.8361,27.1968,27.2342,ok
shm_ablation,futex,262144,5000,60.52,60.208,61.8015,64.9832,69.4284,60.4897,60.5502,ok
shm_ablation,futex,1048576,2000,280.502,278.034,286.596,296.704,335.171,280.267,280.738,ok
