ipc_type,wakeup_variant,message_size_bytes,n_rounds,mean_us,median_us,p90_us,p99_us,p999_us,ci95_lo_us,ci95_hi_us
pipe,n/a,64,100000,3.32552,3.294,3.445,4.66901,6.617,3.32304,3.328
pipe,n/a,256,100000,3.32473,3.294,3.424,4.677,6.778,3.31684,3.33261
pipe,n/a,1024,100000,3.53306,3.471,3.711,5.10901,7.27114,3.52912,3.537
pipe,n/a,4096,50000,4.02433,3.922,4.217,6.084,8.01504,4.02011,4.02855
pipe,n/a,16384,20000,7.41777,7.333,7.709,9.57304,10.812,7.41139,7.42415
pipe,n/a,65536,10000,20.1301,19.822,21.157,23.522,32.0801,20.1017,20.1584
pipe,n/a,262144,5000,61.2718,60.208,64.3282,73.2644,90.7059,61.1893,61.3542
pipe,n/a,1048576,2000,267.148,261.026,281.581,393.99,451.114,266.114,268.181
