wakeup_variant,regime,message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us,p999_us,wakeup_latency_p50_us,wakeup_latency_p99_us,wakeups_triggered,cpu_us_per_msg
busy_poll,unknown,64,1,0.00555936,0.311296,0.242724,0.223,0.527,0.82,3.145,0.022,0.025,129088,10.72
busy_poll,unknown,64,2,0.00555807,0.306441,0.212671,0.224,0.517,0.671,1.031,0.022,0.025,133180,10.7232
busy_poll,unknown,64,3,0.0055578,0.303574,0.166568,0.224,0.516,0.66,0.972,0.022,0.025,134978,10.7236
busy_poll,unknown,64,4,0.00556036,0.304174,0.163781,0.224,0.516,0.662,0.979,0.022,0.025,131699,10.7188
busy_poll,unknown,64,5,0.00555616,0.316019,1.2118,0.224,0.516,0.66,1.022,0.022,0.025,133940,10.7268
busy_poll,unknown,64,6,0.00555914,0.304032,0.218133,0.224,0.516,0.663,0.976,0.022,0.025,134523,10.7209
busy_poll,unknown,64,7,0.00556231,0.304172,0.224167,0.224,0.516,0.666,1.018,0.022,0.025,133331,10.7148
busy_poll,unknown,64,8,0.00555484,0.311252,0.311899,0.224,0.517,0.669,1.012,0.022,0.025,134671,10.7294
busy_poll,unknown,64,9,0.00555403,0.308151,0.154603,0.225,0.516,0.664,0.957,0.022,0.025,132720,10.7309
busy_poll,unknown,64,10,0.0055532,0.307669,0.165129,0.224,0.517,0.667,0.958,0.022,0.025,136394,10.7326
busy_poll,unknown,64,11,0.00555465,0.309496,0.167144,0.225,0.517,0.671,0.984,0.022,0.025,133224,10.7299
busy_poll,unknown,64,12,0.005556,0.306713,0.16057,0.225,0.516,0.668,1.003,0.022,0.025,132018,10.7266
busy_poll,unknown,64,13,0.00555096,0.30859,0.1764,0.225,0.517,0.673,0.968,0.022,0.025,137047,10.7369
busy_poll,unknown,64,14,0.00555839,0.303735,0.169285,0.224,0.516,0.666,0.964,0.022,0.025,134620,10.722
busy_poll,unknown,64,15,0.00556226,0.301736,0.183563,0.224,0.516,0.661,0.957,0.022,0.025,132909,10.7144
busy_poll,unknown,256,1,0.0222689,0.33023,0.430593,0.289,0.538,0.726,2.979,0.022,0.025,10656,10.7055
busy_poll,unknown,256,2,0.0222433,0.33536,0.353181,0.334,0.538,0.726,3.231,0.022,0.025,10214,10.7178
busy_poll,unknown,256,3,0.0222533,0.338244,0.409737,0.335,0.541,0.734,4.334,0.022,0.025,10276,10.7133
busy_poll,unknown,256,4,0.0222422,0.33342,0.449229,0.314,0.531,0.706,3.622,0.022,0.029,10310,10.7176
busy_poll,unknown,256,5,0.0222552,0.327827,0.221799,0.326,0.53,0.699,2.491,0.022,0.025,10141,10.7116
busy_poll,unknown,256,6,0.0222428,0.327636,0.192448,0.327,0.536,0.713,2.316,0.022,0.025,10201,10.7182
busy_poll,unknown,256,7,0.0222738,0.333605,0.41524,0.322,0.531,0.719,3.14,0.022,0.025,10186,10.7029
busy_poll,unknown,256,8,0.0222813,0.321281,0.280012,0.29,0.523,0.704,2.554,0.022,0.025,10546,10.6994
busy_poll,unknown,256,9,0.0222534,0.332857,0.362272,0.325,0.535,0.709,3.5,0.022,0.025,10140,10.7132
busy_poll,unknown,256,10,0.0222661,0.323094,0.155147,0.317,0.536,0.714,1.777,0.022,0.025,10139,10.7065
busy_poll,unknown,256,11,0.0222679,0.329276,0.3103,0.32,0.532,0.709,2.687,0.022,0.025,9983,10.7058
busy_poll,unknown,256,12,0.0222468,0.331917,0.222994,0.333,0.545,0.738,2.149,0.022,0.025,10234,10.716
busy_poll,unknown,256,13,0.0222795,0.323721,0.22455,0.314,0.528,0.703,2.399,0.022,0.025,10719,10.7004
busy_poll,unknown,256,14,0.022263,0.333311,0.445837,0.32,0.53,0.704,4.221,0.022,0.025,10142,10.7081
busy_poll,unknown,256,15,0.0222594,0.360477,0.973471,0.334,0.547,0.747,6.386,0.022,0.03,9965,10.7094
busy_poll,unknown,1024,1,0.089314,4.185,2.48042,3.705,9.395,11.368,14.098,0.022,0.025,261,10.6762
busy_poll,unknown,1024,2,0.0893505,4.29606,2.7363,3.698,9.91,12.818,15.912,0.023,0.123,260,10.6729
busy_poll,unknown,1024,3,0.0892493,4.34539,2.66448,3.737,9.882,12.135,15.643,0.023,0.121,261,10.6856
busy_poll,unknown,1024,4,0.0893645,4.11833,2.60305,3.641,9.469,11.567,19.422,0.023,0.129,263,10.6707
busy_poll,unknown,1024,5,0.0893153,4.29493,2.7182,3.71,9.883,12.549,17.169,0.023,0.116,261,10.6779
busy_poll,unknown,1024,6,0.089187,4.36564,2.5698,3.805,9.662,11.585,14.268,0.023,0.125,256,10.6921
busy_poll,unknown,1024,7,0.0893694,4.28564,2.63101,3.729,9.786,11.988,14.151,0.023,0.112,263,10.6703
