ipc_type,wakeup_variant,message_size_bytes,n_rounds,mean_us,median_us,p90_us,p99_us,p999_us,ci95_lo_us,ci95_hi_us
shm_ablation,eventfd,64,100000,3.14648,3.113,3.244,4.43101,7.57602,3.14402,3.14893
shm_ablation,eventfd,256,100000,3.16609,3.114,3.319,4.67702,7.66008,3.16354,3.16863
shm_ablation,eventfd,1024,100000,3.28936,3.216,3.432,4.97101,8.47101,3.2847,3.29402
shm_ablation,eventfd,4096,50000,3.8303,3.75,4.005,5.27301,7.10401,3.8183,3.84229
shm_ablation,eventfd,16384,20000,6.4489,6.31,6.772,8.74901,15.2338,6.43963,6.45816
shm_ablation,eventfd,65536,10000,15.0604,14.831,15.6631,17.4981,19.1414,14.9641,15.1568
shm_ablation,eventfd,262144,5000,34.0549,33.234,35.88,45.1051,53.7386,33.9928,34.117
shm_ablation,eventfd,1048576,2000,155.553,152.591,162.452,190.589,240.791,155.2,155.907
