ipc_type,wakeup_variant,message_size_bytes,n_rounds,mean_us,median_us,p90_us,p99_us,p999_us,ci95_lo_us,ci95_hi_us
shm_ablation,busy_poll,64,100000,0.380213,0.371,0.392,0.519,0.635,0.3795,0.380926
shm_ablation,busy_poll,256,100000,0.535355,0.546,0.576,0.588,0.756001,0.53473,0.535981
shm_ablation,busy_poll,1024,100000,0.981368,0.987,1.05,1.138,1.96816,0.98059,0.982146
shm_ablation,busy_poll,4096,50000,2.30127,2.298,2.349,2.432,4.93403,2.29965,2.30289
shm_ablation,busy_poll,16384,20000,7.44509,7.44,7.529,7.82801,10.7121,7.44121,7.44897
shm_ablation,busy_poll,65536,10000,23.6158,23.678,23.903,25.4891,27.373,23.6017,23.6299
shm_ablation,busy_poll,262144,5000,56.8563,56.678,57.742,60.218,64.0298,56.8298,56.8827
shm_ablation,busy_poll,1048576,2000,273.156,270.94,279.953,290.028,295.72,272.938,273.374
