message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us
262144,11,6.67646,128.983,85.2673,116.67,170.035,316.161
262144,12,6.73168,125.705,81.2809,117.285,162.584,248.334
262144,13,6.45212,134.457,82.161,121.71,178.547,318.193
262144,14,6.49178,132.06,83.697,121.996,171.683,264.534
262144,15,6.45221,137.604,86.0198,123.144,176.348,324.076
1048576,1,5.37097,220.06,98.327,206.45,296.696,553.868
1048576,2,5.34217,220.96,93.6879,209.581,284.604,540.743
1048576,3,5.39294,220.101,93.68,208.995,279.957,479.438
1048576,4,5.23853,226.408,99.4494,213.818,305.691,526.83
1048576,5,5.24635,225.545,93.1931,218.706,288.536,505.464
1048576,6,5.19477,227.412,90.9399,221.707,294.547,532.754
1048576,7,4.71506,250.586,115.527,233.324,379.678,710.228
1048576,8,3.93151,300.033,155.158,267.76,517.167,951.815
1048576,9,3.48449,332.162,193.498,284.173,656.968,1043.21
1048576,10,4.96026,237.364,125.518,206.611,377.484,755.211
1048576,11,5.27277,224.329,100.912,202.964,322.172,528.204
1048576,12,3.45129,331.251,278.804,248.026,775.245,1311.22
1048576,13,3.001,367.746,353.164,249.49,1026.66,1725.31
1048576,14,4.86542,243.139,147.824,226.95,335.646,770.223
1048576,15,2.85056,397.907,337.486,242.675,1052.46,1451.69
